market,date_started,week_end_date,price_per_quintal,year,month
Achalda APMC,2025-11-01,2025-11-08,1866.55,2025,11
Achnera APMC,2025-11-01,2025-11-08,1930.77,2025,11
Agra APMC,2025-11-01,2025-11-08,1844.26,2025,11
Ahirora APMC,2025-11-01,2025-11-08,,2025,11
Ajuha APMC,2025-11-01,2025-11-08,2042.54,2025,11
Akbarpur APMC,2025-11-01,2025-11-08,1877.39,2025,11
Aligarh APMC,2025-11-01,2025-11-08,2155.53,2025,11
Allahabad APMC,2025-11-01,2025-11-08,2101.36,2025,11
Amroha APMC,2025-11-01,2025-11-08,1803.26,2025,11
Anandnagar APMC,2025-11-01,2025-11-08,2425.93,2025,11
Anoop Shahar APMC,2025-11-01,2025-11-08,1891.67,2025,11
Anwala APMC,2025-11-01,2025-11-08,1950.0,2025,11
Atarra APMC,2025-11-01,2025-11-08,,2025,11
Auraiya APMC,2025-11-01,2025-11-08,1858.38,2025,11
Awagarh APMC,2025-11-01,2025-11-08,1710.94,2025,11
Azamgarh APMC,2025-11-01,2025-11-08,1944.03,2025,11
Bachranwa APMC,2025-11-01,2025-11-08,2039.19,2025,11
Badayoun APMC,2025-11-01,2025-11-08,1914.21,2025,11
Bagpat APMC,2025-11-01,2025-11-08,,2025,11
Bahraich APMC,2025-11-01,2025-11-08,1916.47,2025,11
Ballia APMC,2025-11-01,2025-11-08,1984.23,2025,11
Balrampur APMC,2025-11-01,2025-11-08,2049.7,2025,11
Banda APMC,2025-11-01,2025-11-08,2027.66,2025,11
Bangarmau APMC,2025-11-01,2025-11-08,2019.86,2025,11
Barabanki APMC,2025-11-01,2025-11-08,2063.57,2025,11
Baraut APMC,2025-11-01,2025-11-08,1879.52,2025,11
Bareilly APMC,2025-11-01,2025-11-08,2089.49,2025,11
Basti APMC,2025-11-01,2025-11-08,1978.77,2025,11
Bewar APMC,2025-11-01,2025-11-08,1800.0,2025,11
Bharthna APMC,2025-11-01,2025-11-08,1656.72,2025,11
Bharuasumerpur APMC,2025-11-01,2025-11-08,1722.16,2025,11
Bharwari APMC,2025-11-01,2025-11-08,,2025,11
Bhinga APMC,2025-11-01,2025-11-08,1864.49,2025,11
Bijnaur APMC,2025-11-01,2025-11-08,1825.23,2025,11
Bilsi APMC,2025-11-01,2025-11-08,1905.0,2025,11
Bindki APMC,2025-11-01,2025-11-08,2063.81,2025,11
Buland Shahr APMC,2025-11-01,2025-11-08,1939.2,2025,11
Chaandpur APMC,2025-11-01,2025-11-08,1500.0,2025,11
Chandausi APMC,2025-11-01,2025-11-08,1807.69,2025,11
Chandoli APMC,2025-11-01,2025-11-08,1966.86,2025,11
Charkhari APMC,2025-11-01,2025-11-08,,2025,11
Charra APMC,2025-11-01,2025-11-08,3050.0,2025,11
Chhibramau APMC,2025-11-01,2025-11-08,1884.53,2025,11
Chirgaon APMC,2025-11-01,2025-11-08,1850.0,2025,11
Chitwadagaon APMC,2025-11-01,2025-11-08,2020.0,2025,11
Chorichora APMC,2025-11-01,2025-11-08,2881.82,2025,11
Choubepur APMC,2025-11-01,2025-11-08,1784.75,2025,11
Chutmalpur APMC,2025-11-01,2025-11-08,1774.05,2025,11
Dadri APMC,2025-11-01,2025-11-08,1848.14,2025,11
Dankaur APMC,2025-11-01,2025-11-08,1861.34,2025,11
Deoband APMC,2025-11-01,2025-11-08,,2025,11
Devariya APMC,2025-11-01,2025-11-08,1863.41,2025,11
Dhanaura APMC,2025-11-01,2025-11-08,1200.0,2025,11
Dibiapur APMC,2025-11-01,2025-11-08,1460.0,2025,11
Divai APMC,2025-11-01,2025-11-08,,2025,11
Doharighat APMC,2025-11-01,2025-11-08,2450.75,2025,11
Dudhi APMC,2025-11-01,2025-11-08,,2025,11
Etah APMC,2025-11-01,2025-11-08,1940.24,2025,11
Etawah APMC,2025-11-01,2025-11-08,1659.6,2025,11
Faizabad APMC,2025-11-01,2025-11-08,2019.95,2025,11
Farukhabad APMC,2025-11-01,2025-11-08,1888.85,2025,11
Fatehabad APMC,2025-11-01,2025-11-08,1400.0,2025,11
Fatehpur APMC,2025-11-01,2025-11-08,2035.51,2025,11
